stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
7014,7014,SJ County Hospital,San Joaquin County Hospital,SJ CNTY HOSPITAL,37.8866303,-121.2809726,0.0,,,,,0
3073,3073,El Dorado & Hospital Northbound,El Dorado And Hospital North Bound,,37.8861896,-121.2763253,0.0,,,,,0
3074,3074,El Dorado & French Camp Northbound,El Dorado And French Camp North Bound,,37.8893015,-121.2763018,0.0,,,,,0
3075,3075,El Dorado & 4554 S El Dorado Northbound,El Dorado And 4554 S El Dorado North Bound,EL DORADO ST & 5544 EL DORADO ST,37.8974071,-121.2756846,0.0,,,,,0
3076,3076,El Dorado & Western Lumber Northbound,El Dorado And Western Lumber North Bound,EL DORADO ST & WESTERN LUMBER,37.9073221,-121.2755971,0.0,,,,,0
3077,3077,Clayton & Harvey Westbound,Clayton And Harvey West Bound,,37.9109958,-121.2772455,0.0,,,,,0
7026,7026,Clayton & Odell Westbound,Clayton And Odell West Bound,,37.9102813,-121.27992,,,,,,0
3080,3080,Odell & Horton Northbound,Odell And Horton North Bound,,37.9214031,-121.2848423,,,,,,0
3082,3082,Mosswood & El Dorado Northbound,Mosswood And El Dorado North Bound,,37.9242661,-121.2814756,0.0,,,,,0
3083,3083,El Dorado & 9Th Northbound,El Dorado And 9Th North Bound,,37.9269246,-121.2818468,0.0,,,,,0
3119,3119,8Th & San Joaquin Westbound,8Th And San Joaquin West Bound,,37.9292481,-121.2809548,0.0,,,,,0
3085,3085,San Joaquin & 6Th Northbound,San Joaquin And 6Th North Bound,,37.9317478,-121.2812813,0.0,,,,,0
3086,3086,San Joaquin & 4Th Northbound,San Joaquin And 4Th North Bound,,37.934529,-121.2820308,0.0,,,,,0
3087,3087,San Joaquin & 2Nd Northbound,San Joaquin And 2Nd North Bound,,37.9367463,-121.2826433,0.0,,,,,0
7027,7027,San Joaquin & Clay Northbound,San Joaquin And Clay North Bound,,37.9408114,-121.2837388,,,,,,0
3088,3088,San Joaquin & Anderson Northbound,San Joaquin And Anderson North Bound,,37.9431343,-121.284369,0.0,,,,,0
3090,3090,San Joaquin & Hazelton Northbound,San Joaquin And Hazelton North Bound,,37.9474766,-121.2855458,0.0,,,,,0
3091,3091,Alvarado & Alpine Northbound,Alvarado And Alpine North Bound,,37.9837323,-121.2896081,0.0,,,,,0
